Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,Clasificacion
DENSIDAD POBLACIONAL,ACCESO A AGUA POTABLE ADECUADO,1.0,1.0,1.0,1.0,Muy fuerte
DENSIDAD POBLACIONAL,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,1.0,1.0,1.0,1.0,Muy fuerte
DENSIDAD POBLACIONAL,COBERTURA DE ACUEDUCTO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
DENSIDAD POBLACIONAL,COBERTURA DE ACUEDUCTO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
DENSIDAD POBLACIONAL,COBERTURA DE ALCANTARILLADO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
DENSIDAD POBLACIONAL,COBERTURA DE ALCANTARILLADO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ACUEDUCTO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ACUEDUCTO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ALCANTARILLADO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ALCANTARILLADO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,1.0,1.0,1.0,1.0,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,TURBIDEZ,1.0,1.0,1.0,1.0,Muy fuerte
COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ALCANTARILLADO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ALCANTARILLADO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ALCANTARILLADO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ALCANTARILLADO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,1.0,1.0,1.0,1.0,Muy fuerte
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO RURAL,1.0,1.0,1.0,1.0,Muy fuerte
AGUAS RESIDUALES TRATADAS,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-1.0,-1.0,1.0,1.0,Muy fuerte
CALIDAD DEL AGUA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-1.0,-1.0,1.0,1.0,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,OXIGENO DISUELTO (OD),-0.9946976878214308,-1.0,0.9946976878214308,1.0,Muy fuerte
VolumenUtilDiarioMasa,irca,0.9534625892455924,0.9534625892455924,0.9534625892455924,0.9534625892455924,Muy fuerte
Temp_Max_C,Temp_Media_C,0.9413415958248187,0.9534112921947542,0.9413415958248187,0.9534112921947542,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,SOLIDOS SUSPENDIDOS TOTALES,0.9326897814624298,0.5,0.9326897814624298,0.5,Muy fuerte
CONDUCTIVIDAD ELECTRICA,NITROGENO TOTAL,0.9319835782330247,0.9177339901477832,0.9319835782330247,0.9177339901477832,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,TEMPERATURA,0.9256959649302327,1.0,0.9256959649302327,1.0,Muy fuerte
CONDUCTIVIDAD ELECTRICA,FOSFORO TOTAL,0.9141256446746779,0.8023677187449753,0.9141256446746779,0.8023677187449753,Muy fuerte
INDICE DE DESEMPENO INSTITUCIONAL,CALIDAD DEL AGUA,0.9120738620329274,1.0,0.9120738620329274,1.0,Muy fuerte
Temp_Min_C,Temp_Media_C,0.8997748396828731,0.8833875236190902,0.8997748396828731,0.8833875236190902,Fuerte
Temp_Max_C,OXIGENO DISUELTO (OD),-0.8452082831174603,-0.8531085659112725,0.8452082831174603,0.8531085659112725,Fuerte
FOSFORO TOTAL,NITROGENO TOTAL,0.8270654645434151,0.8438423645320197,0.8270654645434151,0.8438423645320197,Fuerte
SOLIDOS SUSPENDIDOS TOTALES,TURBIDEZ,0.8175967966425479,0.8683888820498764,0.8175967966425479,0.8683888820498764,Fuerte
Temp_Max_C,TEMPERATURA,0.8120301126283962,0.7934148331656045,0.8120301126283962,0.7934148331656045,Fuerte
Nivel_Minimo,TURBIDEZ,0.7996356127801872,0.6386004222984786,0.7996356127801872,0.6386004222984786,Fuerte
INDICE DE DESEMPENO INSTITUCIONAL,DEMANDA QUIMICA DE OXIGENO (DQO),0.7984031019722234,1.0,0.7984031019722234,1.0,Fuerte
Temp_Media_C,OXIGENO DISUELTO (OD),-0.7962425704800324,-0.7764330141757917,0.7962425704800324,0.7764330141757917,Fuerte
Humedad_Relativa,CONDUCTIVIDAD ELECTRICA,-0.7857005887589088,-0.6007827320514887,0.7857005887589088,0.6007827320514887,Fuerte
Temp_Media_C,TEMPERATURA,0.7812578101959871,0.7714162259319061,0.7812578101959871,0.7714162259319061,Fuerte
AGUAS RESIDUALES TRATADAS,OXIGENO DISUELTO (OD),-0.7797865091371275,-0.4763305116224668,0.7797865091371275,0.4763305116224668,Fuerte
FOSFORO TOTAL,OXIGENO DISUELTO (OD),-0.7678003818412584,-0.7760653237970215,0.7678003818412584,0.7760653237970215,Fuerte
Temp_Max_C,Humedad_Relativa,-0.7636722500185221,-0.694250385311952,0.7636722500185221,0.694250385311952,Fuerte
CONDUCTIVIDAD ELECTRICA,OXIGENO DISUELTO (OD),-0.7635359193974837,-0.7561350464690479,0.7635359193974837,0.7561350464690479,Fuerte
Temp_Max_C,Temp_Min_C,0.7628590961163014,0.7765498580875588,0.7628590961163014,0.7765498580875588,Fuerte
Humedad_Relativa,NITROGENO TOTAL,-0.7515621641211647,-0.7369458128078817,0.7515621641211647,0.7369458128078817,Fuerte
DEMANDA QUIMICA DE OXIGENO (DQO),NITROGENO TOTAL,0.7347691187182083,0.7960591133004926,0.7347691187182083,0.7960591133004926,Fuerte
CALIDAD DEL AGUA,pH,0.7345179688069101,0.24474534704521944,0.7345179688069101,0.24474534704521944,Fuerte
INDICE DE DESEMPENO INSTITUCIONAL,AGUAS RESIDUALES TRATADAS,0.7290766549206337,0.8,0.7290766549206337,0.8,Fuerte
Humedad_Relativa,FOSFORO TOTAL,-0.7251110640826779,-0.5753578491950468,0.7251110640826779,0.5753578491950468,Fuerte
CONDUCTIVIDAD ELECTRICA,DEMANDA QUIMICA DE OXIGENO (DQO),0.719718080680289,0.763287509601228,0.719718080680289,0.763287509601228,Fuerte
Temp_Min_C,TEMPERATURA,0.7131558014089412,0.6083813703887865,0.7131558014089412,0.6083813703887865,Fuerte
Nivel_Minimo,TEMPERATURA,0.7131010834765341,0.4125874125874126,0.7131010834765341,0.4125874125874126,Fuerte
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),pH,0.7106454845063302,0.4883492160515338,0.7106454845063302,0.4883492160515338,Fuerte
AGUAS RESIDUALES TRATADAS,TEMPERATURA,0.6884220666332722,0.5270462766947299,0.6884220666332722,0.5270462766947299,Moderada
CALIDAD DEL AGUA,TEMPERATURA,0.6858323737993114,0.6920385675071722,0.6858323737993114,0.6920385675071722,Moderada
Temp_Max_C,NITROGENO TOTAL,0.6773555802449812,0.7929548034035325,0.6773555802449812,0.7929548034035325,Moderada
Temp_Max_C,CONDUCTIVIDAD ELECTRICA,0.6754409107655281,0.6849472969003587,0.6754409107655281,0.6849472969003587,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,FOSFORO TOTAL,0.6749434914474639,1.0,0.6749434914474639,1.0,Moderada
Temp_Max_C,FOSFORO TOTAL,0.6593333340934094,0.6976168642171833,0.6593333340934094,0.6976168642171833,Moderada
Temp_Min_C,AGUAS RESIDUALES TRATADAS,0.6579877652609201,0.32899390592476363,0.6579877652609201,0.32899390592476363,Moderada
DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,0.649379347483494,0.696745120651984,0.649379347483494,0.696745120651984,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,CONDUCTIVIDAD ELECTRICA,0.6423207431509059,1.0,0.6423207431509059,1.0,Moderada
Humedad_Relativa,OXIGENO DISUELTO (OD),0.6388817929819669,0.4856525405805682,0.6388817929819669,0.4856525405805682,Moderada
Nivel_Minimo,SOLIDOS SUSPENDIDOS TOTALES,0.6388357739108331,0.17482517482517482,0.6388357739108331,0.17482517482517482,Moderada
OXIGENO DISUELTO (OD),TEMPERATURA,-0.6359124619952512,-0.6340362198429024,0.6359124619952512,0.6340362198429024,Moderada
NITROGENO TOTAL,TEMPERATURA,0.6221290933263841,0.6991870130889357,0.6221290933263841,0.6991870130889357,Moderada
Temp_Min_C,OXIGENO DISUELTO (OD),-0.6220767992510715,-0.5328498709439707,0.6220767992510715,0.5328498709439707,Moderada
NITROGENO TOTAL,OXIGENO DISUELTO (OD),-0.6137416975573362,-0.73130471916096,0.6137416975573362,0.73130471916096,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,NITROGENO TOTAL,0.6109960344993463,1.0,0.6109960344993463,1.0,Moderada
Anio,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Anio,ACCESO A AGUA POTABLE ADECUADO,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Anio,COBERTURA DE ACUEDUCTO URBANO,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Anio,COBERTURA DE ACUEDUCTO RURAL,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Anio,COBERTURA DE ALCANTARILLADO URBANO,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Anio,DENSIDAD POBLACIONAL,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Anio,COBERTURA DE ALCANTARILLADO RURAL,-0.5976143046672051,-0.5976143046671968,0.5976143046672051,0.5976143046671968,Moderada
Temp_Media_C,AGUAS RESIDUALES TRATADAS,0.5974798721911426,0.24191715085452506,0.5974798721911426,0.24191715085452506,Moderada
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),NITROGENO TOTAL,0.5869164031905093,0.2857243743174461,0.5869164031905093,0.2857243743174461,Moderada
Nivel_Minimo,pH,-0.5729888472196178,-0.7552447552447552,0.5729888472196178,0.7552447552447552,Moderada
Temp_Media_C,Humedad_Relativa,-0.5679169476707837,-0.5232032003004312,0.5679169476707837,0.5232032003004312,Moderada
Precipitacion_mm,Humedad_Relativa,0.5674624005718127,0.6362956809141729,0.5674624005718127,0.6362956809141729,Moderada
CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),0.5637625184798303,0.36011739134610005,0.5637625184798303,0.36011739134610005,Moderada
DEMANDA QUIMICA DE OXIGENO (DQO),OXIGENO DISUELTO (OD),-0.5634989660318762,-0.5849899248884078,0.5634989660318762,0.5849899248884078,Moderada
NITROGENO TOTAL,pH,0.5498420480759016,0.66379208673168,0.5498420480759016,0.66379208673168,Moderada
FOSFORO TOTAL,TURBIDEZ,0.5412436869638776,0.45831592712247726,0.5412436869638776,0.45831592712247726,Moderada
Temp_Media_C,NITROGENO TOTAL,0.536174430880981,0.7611774906855904,0.536174430880981,0.7611774906855904,Moderada
Temp_Media_C,FOSFORO TOTAL,0.5358548926137648,0.5912837148297452,0.5358548926137648,0.5912837148297452,Moderada
Humedad_Relativa,DEMANDA QUIMICA DE OXIGENO (DQO),-0.5286654022125911,-0.3867823504930152,0.5286654022125911,0.3867823504930152,Moderada
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),0.5242774090946274,0.5487548415661999,0.5242774090946274,0.5487548415661999,Moderada
Temp_Media_C,CONDUCTIVIDAD ELECTRICA,0.5182849002934562,0.5988906779530515,0.5182849002934562,0.5988906779530515,Moderada
Nivel_Minimo,OXIGENO DISUELTO (OD),-0.5117764343346932,0.08391608391608392,0.5117764343346932,0.08391608391608392,Moderada
FOSFORO TOTAL,SOLIDOS SUSPENDIDOS TOTALES,0.5108846534626124,0.5895171991425947,0.5108846534626124,0.5895171991425947,Moderada
Anio,OXIGENO DISUELTO (OD),-0.5031956760947406,-0.43984274486175573,0.5031956760947406,0.43984274486175573,Moderada
Anio,irca,0.499999999999992,0.5,0.499999999999992,0.5,Débil
CONDUCTIVIDAD ELECTRICA,TEMPERATURA,0.4951994959704961,0.46236973140844106,0.4951994959704961,0.46236973140844106,Débil
FOSFORO TOTAL,TEMPERATURA,0.48871799523926596,0.5158985358630827,0.48871799523926596,0.5158985358630827,Débil
Velocidad_Viento,INDICE DE DESEMPENO INSTITUCIONAL,0.4829265677792562,0.447420545960082,0.4829265677792562,0.447420545960082,Débil
CALIDAD DEL AGUA,FOSFORO TOTAL,0.47707399164470443,0.5148091782675306,0.47707399164470443,0.5148091782675306,Débil
Anio,VolumenUtilDiarioMasa,0.47673129462278785,0.4767312946227962,0.47673129462278785,0.4767312946227962,Débil
CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,0.47384217262263967,0.7319250547113999,0.47384217262263967,0.7319250547113999,Débil
CALIDAD DEL AGUA,CONDUCTIVIDAD ELECTRICA,0.47189390908715084,0.5654461466217139,0.47189390908715084,0.5654461466217139,Débil
Humedad_Relativa,TEMPERATURA,-0.4592549160838103,-0.38514925738112327,0.4592549160838103,0.38514925738112327,Débil
Temp_Max_C,AGUAS RESIDUALES TRATADAS,0.4517014071659752,0.13179884900817504,0.4517014071659752,0.13179884900817504,Débil
COBERTURA DE ALCANTARILLADO URBANO,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
COBERTURA DE ACUEDUCTO URBANO,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
ACCESO A AGUA POTABLE ADECUADO,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
DENSIDAD POBLACIONAL,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
