Registro,Prediccion
12,0.6744366
13,0.6488534
14,0.5383783
15,0.42208877
16,0.21284287
17,0.12440463
18,0.14853911
19,0.17457668
20,0.28959736
21,0.29615843
22,0.19852488
23,0.14242582
24,0.13185284
25,-0.04120323
26,0.0901879
27,-0.056036
28,-0.053342197
29,-0.044047143
30,-0.035946887
31,0.097183034
32,0.15645958
33,0.19392069
34,0.17301565
35,0.11295392
36,0.12727325
37,-0.046470266
38,-0.110817835
39,-0.09554269
40,-0.1665678
41,-0.18911211
42,-0.054306302
43,0.07791459
44,0.2968878
45,0.4093913
46,0.41443023
47,0.37892076
48,0.4709335
49,0.36404434
50,0.24301232
51,0.060203113
52,-0.0010218342
53,-0.018724976
54,0.035867363
55,0.1561472
56,0.29106355
57,0.36189154
58,0.334342
59,0.29983816
60,0.3156598
61,0.30786422
62,0.34864244
63,0.25108248
64,0.16493048
65,0.09876429
66,0.099575184
67,0.095607944
68,0.11340573
69,0.2047218
70,0.27894813
71,0.18899019
72,0.21159689
73,0.113880925
74,0.022882001
75,-0.108311035
76,-0.13329045
77,-0.037116103
78,-0.0031138537
79,0.17173938
80,0.23850478
81,0.3168688
82,0.27586553
83,0.27850506
84,0.2931626
85,0.1854592
86,-0.008289874
87,-0.13239138
88,-0.20156835
89,-0.22266632
90,-0.24883004
91,-0.16139644
92,-0.026613528
93,0.031470794
94,0.08158415
95,0.09757156
96,0.18086629
97,-0.033291675
98,-0.014772778
99,-0.12913135
100,-0.1619178
101,-0.048600607
102,0.15709937
103,0.3192833
104,0.46093056
105,0.5606854
106,0.5461165
107,0.535918
108,0.53456813
109,0.5259906
110,0.42012128
111,0.34647992
112,0.25272956
113,0.09800084
114,0.04510118
115,0.12252215
116,0.24616748
117,0.35177794
118,0.386169
119,0.2924564
120,0.2662854
121,0.16257839
122,-0.01643657
123,-0.10456678
124,-0.119110346
125,-0.04699721
126,0.06222739
127,0.21718656
128,0.33451077
129,0.41814622
130,0.37847313
131,0.35568574
132,0.3944374
133,0.23604943
134,0.2057098
135,0.14547428
136,0.08808079
137,0.09338456
138,0.13084416
139,0.19511518
140,0.2026671
141,0.35165882
142,0.43671486
143,0.4390272
144,0.44190004
145,0.5644293
146,0.41658998
147,0.32752723
148,0.19500595
149,0.0980053
150,0.063543096
151,0.031522743
152,0.10637189
153,0.13338871
154,0.10894351
155,0.019442627
156,0.09615629
157,-0.1086725
158,-0.092694275
159,-0.1726938
160,-0.108313955
161,-0.06180846
162,-0.03653547
163,-0.013471058
164,0.046816166
165,0.10294398
166,0.093584664
167,0.053740185
168,0.08486925
169,-0.0695601
170,-0.19472283
171,-0.19573292
172,-0.30750784
173,-0.26078025
174,-0.17102392
175,-0.08985757
176,0.029718796
177,0.11715553
178,0.1668195
179,0.17796148
180,0.36468413
181,0.24052083
182,0.26165166
183,0.08021629
184,-0.0088123735
185,0.002103826
186,0.01066938
187,0.06369897
188,0.070724554
189,0.13433269
190,0.17804958
191,0.15605982
192,0.21535172
193,0.19921714
194,0.23350796
195,0.16963781
196,0.07370063
197,0.012827178
198,0.06045119
199,0.048131607
200,0.0128455665
201,0.06674116
202,0.079579026
203,-0.008063791
204,0.069251664
205,-0.044303168
