Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,Puntaje_Redundancia,Puntaje_Multicolinealidad,IPML,Nivel_IPML,Estado_Final,Justificacion
1,Precipitacion_mm,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.898,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
2,ONI,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.265,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Variabilidad Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
3,Radiacion_Solar,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.704,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
4,Humedad_Relativa,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,7.128,Moderada,Existe una dependencia moderada aceptable para modelado.,Sin restricciones importantes.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,0.75,0.95,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
5,Nivel_Minimo,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.027,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Hidrológica,Muy Alta,3,1.0,16.48,0.165,1.0,1.0,0.9165,Muy Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
6,pH,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,2.815,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Muy Alta,3,1.0,9.47,0.095,1.0,1.0,0.9095,Muy Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
7,DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,2.97,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Muy Alta,3,1.0,9.28,0.093,1.0,1.0,0.9093,Muy Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
8,Temp_Min_C,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,10.573,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,0.5,0.9,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
9,AGUAS RESIDUALES TRATADAS,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,1.63,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Infraestructura,Muy Alta,3,1.0,18.18,0.182,0.833,1.0,0.8681,Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
10,Mes,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.152,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Temporal,Alta,2,0.667,100.0,1.0,1.0,1.0,0.8668,Alta,Seleccionada,Cumple todos los criterios del Framework.
11,Velocidad_Viento,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.477,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Climática,Alta,2,0.667,100.0,1.0,1.0,1.0,0.8668,Alta,Seleccionada,Cumple todos los criterios del Framework.
