Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,Puntaje_Redundancia,Puntaje_Multicolinealidad,IPML,Nivel_IPML,Estado_Final
17,Temp_Max_C,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,31.915,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Climática,Muy Alta,3,1.0,100.0,1.0,0.833,0.25,0.7999,Media,No Prioritaria
18,Temp_Media_C,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,36.048,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Climática,Muy Alta,3,1.0,100.0,1.0,0.833,0.25,0.7999,Media,No Prioritaria
19,TEMPERATURA,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,2.883,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.833,1.0,0.7262,Media,No Prioritaria
20,SOLIDOS SUSPENDIDOS TOTALES,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,2.705,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.833,1.0,0.7262,Media,No Prioritaria
21,TURBIDEZ,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,1.619,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Alta,2,0.667,6.44,0.064,0.833,1.0,0.7231,Media,No Prioritaria
22,Anio,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,5.779,Moderada,Existe una dependencia moderada aceptable para modelado.,Sin restricciones importantes.,Temporal,Media,1,0.333,100.0,1.0,1.0,0.75,0.6832,Baja,No Prioritaria
23,CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,2354914.55,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Infraestructura,Alta,2,0.667,18.18,0.182,1.0,0.25,0.635,Baja,No Prioritaria
24,FOSFORO TOTAL,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,14.153,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Calidad del Agua,Alta,2,0.667,9.28,0.093,0.833,0.5,0.626,Baja,No Prioritaria
25,NITROGENO TOTAL,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,10.296,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Calidad del Agua,Alta,2,0.667,5.49,0.055,0.833,0.5,0.6222,Baja,No Prioritaria
26,CONDUCTIVIDAD ELECTRICA,Numérica,2,0.333,Baja,Baja redundancia estructural.,22.078,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.667,0.25,0.5264,Baja,No Prioritaria
27,INDICE DE DESEMPENO INSTITUCIONAL,Numérica,5,0.833,Muy Alta,Variable altamente redundante respecto al conjunto.,4.434,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Institucional,Alta,2,0.667,9.09,0.091,0.167,1.0,0.526,Baja,No Prioritaria
28,ACCESO A AGUA POTABLE ADECUADO,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Muy Alta,3,1.0,100.0,1.0,0.0,0.0,0.5,Baja,No Prioritaria
29,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Muy Alta,3,1.0,100.0,1.0,0.0,0.0,0.5,Baja,No Prioritaria
30,DENSIDAD POBLACIONAL,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Demográfica,Alta,2,0.667,100.0,1.0,0.0,0.0,0.3668,Baja,No Prioritaria
