Precipitacion_mm,ONI,Radiacion_Solar,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,irca,VolumenUtilDiarioMasa
2.7,0.68,17.78,77.88,8.45,1,1.37,0,0
2.22,0.57,17.16,78.83,13.72,2,1.14,0,0
5.25,0.57,16.63,80.28,13.52,3,1.09,0,0
6.16,0.82,16.56,80.32,12.81,4,1.07,0,0
3.27,1.03,16.0,79.57,12.24,5,1.14,0,0
4.04,1.23,15.32,77.17,12.0,6,1.88,0,0
4.03,1.5,16.57,74.72,11.07,7,1.75,0,0
2.55,1.97,16.15,71.12,11.81,8,1.71,0,0
2.51,2.24,18.51,67.32,10.33,9,1.63,0,0
4.5,2.41,17.33,72.89,12.92,10,1.09,0,0
6.21,2.77,15.75,80.98,12.87,11,0.96,0,0
0.99,2.76,17.84,67.35,11.8,12,1.65,0,0
0.53,2.73,19.48,66.06,13.38,1,1.05,0,0
1.61,2.39,16.71,66.06,14.67,2,1.13,0,0
4.16,1.71,16.87,71.95,13.9,3,1.02,0,0
9.13,1.02,15.51,81.61,14.4,4,0.88,0,0
5.31,0.41,16.17,79.33,13.54,5,1.06,0,0
3.66,0.03,16.46,74.97,11.99,6,1.35,0,0
3.8,-0.43,15.98,73.25,11.8,7,1.44,0,0
4.91,-0.53,17.1,69.61,12.06,8,1.62,0,0
4.44,-0.53,17.44,72.41,11.44,9,1.2,0,0
6.63,-0.69,17.27,79.98,13.08,10,0.82,0,0
7.34,-0.7,15.56,84.81,12.8,11,1.01,0,0
4.4,-0.4,16.01,82.62,12.82,12,0.8,0,0
1.76,-0.26,15.76,80.31,10.73,1,1.01,0,0
1.36,0.07,19.23,74.17,13.08,2,1.3,0,0
8.93,0.13,15.18,83.17,14.42,3,0.83,0,0
6.03,0.33,16.86,80.84,12.51,4,0.97,0,0
10.2,0.47,16.74,83.16,12.49,5,0.91,0,0
6.7,0.39,15.83,82.58,11.9,6,0.99,0,0
2.93,0.29,16.67,79.53,11.79,7,1.43,0,0
5.3,-0.11,17.71,77.89,11.72,8,1.05,0,0
3.42,-0.39,17.88,77.81,11.26,9,1.04,0,0
7.74,-0.51,16.15,81.03,12.97,10,1.0,0,0
8.86,-0.9,16.49,86.18,13.28,11,0.85,0,0
3.07,-0.88,16.9,83.02,10.25,12,0.94,0,0
2.47,-0.81,17.15,81.21,11.55,1,0.91,0,0
2.39,-0.63,16.61,80.65,11.68,2,1.12,0,0
3.51,-0.7,17.19,79.16,12.83,3,1.09,0,0
9.22,-0.39,15.46,84.9,13.1,4,0.95,0,0
9.83,-0.09,15.78,83.64,12.53,5,0.85,0,0
6.5,0.1,16.29,80.2,11.74,6,1.28,0,0
5.75,0.17,16.33,79.3,12.22,7,1.35,0,0
4.73,0.14,18.23,77.65,9.89,8,1.77,0,0
4.47,0.51,18.1,77.27,11.98,9,1.24,0,0
6.77,0.95,17.59,83.56,13.06,10,0.89,0,0
5.62,0.96,16.25,84.64,13.63,11,0.8,0,0
1.11,0.99,18.79,78.49,10.99,12,1.17,0,0
1.6,0.82,17.22,78.46,10.74,1,1.3,0,0
2.95,0.86,16.8,78.42,13.73,2,0.95,0,0
6.65,0.91,14.55,82.47,13.37,3,0.82,0,0
7.69,0.74,16.21,84.4,13.44,4,0.92,0,0
10.5,0.66,16.0,82.71,13.14,5,0.9,0,0
5.88,0.51,16.34,81.7,11.95,6,1.29,0,0
4.84,0.4,17.5,78.7,11.28,7,1.42,0,0
3.17,0.09,17.75,76.69,11.38,8,1.67,0,0
4.39,0.07,17.52,76.36,10.96,9,1.31,0,0
7.75,0.53,16.91,80.76,12.86,10,0.87,0,0
7.89,0.58,16.2,85.48,13.17,11,0.94,0,0
2.58,0.63,16.55,81.85,13.37,12,0.92,0,0
0.76,0.78,18.92,79.68,10.2,1,1.5,0,0
4.57,0.52,19.35,76.77,9.69,2,1.36,0,0
3.42,0.58,16.7,80.22,11.04,3,1.05,0,0
5.2,0.48,16.62,79.98,14.27,4,0.89,0,0
4.54,-0.16,15.69,78.76,12.95,5,1.14,0,0
10.42,-0.28,16.38,79.16,11.82,6,1.24,0,0
6.62,-0.25,16.31,78.15,11.15,7,1.13,0,0
3.91,-0.54,16.61,77.94,11.78,8,1.12,0,0
3.98,-0.79,18.56,76.04,11.65,9,1.13,0,0
1.96,-1.2,17.48,72.36,12.01,10,1.27,0,0
2.37,-1.36,16.16,81.53,13.94,11,0.81,0,0
3.68,-1.05,17.48,74.79,11.88,12,0.87,0,0
3.39,-0.82,18.36,73.39,10.89,1,1.07,0,0
3.51,-0.85,16.48,74.45,14.18,2,1.04,0,0
4.26,-0.69,14.88,79.49,14.33,3,0.93,0,0
5.89,-0.6,16.59,79.32,12.93,4,0.94,0,0
1.74,-0.35,17.28,78.49,13.22,5,1.18,0,0
6.56,-0.22,16.74,79.13,10.87,6,1.1,0,0
1.86,-0.34,16.75,75.01,11.48,7,1.64,0,0
2.29,-0.48,16.76,73.34,12.24,8,1.26,0,0
4.83,-0.52,17.97,72.27,11.98,9,1.28,0,0
3.11,-0.89,17.65,76.91,13.49,10,0.86,0,0
2.88,-0.89,17.76,77.9,13.88,11,0.9,0,0
2.11,-0.96,16.65,76.74,14.6,12,1.04,0,0
1.85,-0.77,17.56,71.83,13.78,1,1.18,0,0
4.7,-0.74,15.44,75.21,13.01,2,0.9,0,0
6.45,-0.87,16.11,81.54,13.81,3,0.89,0,0
8.67,-0.99,15.56,81.47,13.69,4,0.99,0,0
10.29,-1.0,16.06,80.97,12.94,5,0.99,0,0
6.91,-0.69,14.98,81.94,12.19,6,0.91,0,0
7.36,-0.65,15.89,79.52,11.41,7,1.14,0,0
5.24,-0.93,17.43,77.79,11.63,8,1.22,0,0
4.5,-1.03,17.06,78.1,12.09,9,1.01,0,0
8.15,-0.94,17.23,83.25,11.69,10,1.06,0,0
5.97,-0.85,15.83,87.01,13.14,11,0.97,0,0
2.28,-0.75,17.96,82.2,11.9,12,0.94,0,0
5.85,-0.55,16.91,82.16,9.61,1,0.97,0,0
1.93,-0.31,18.54,78.37,10.98,2,0.99,0,0
5.33,-0.01,14.8,84.32,13.12,3,0.87,0,0
7.27,0.25,15.3,83.93,13.04,4,0.9,0,0
7.13,0.57,17.05,81.59,12.88,5,1.12,0,0
5.06,0.89,17.28,79.4,12.03,6,1.61,0,0
4.88,1.07,16.65,78.49,12.17,7,1.72,0,0
4.25,1.39,18.1,76.52,10.74,8,1.59,0,0
4.65,1.64,18.28,75.41,11.72,9,1.43,0,0
6.48,1.77,17.62,80.4,12.14,10,0.91,0,0
5.67,2.08,16.36,81.35,13.28,11,0.99,0,0
4.32,2.13,16.01,80.68,13.31,12,1.03,0,0
0.62,1.98,20.35,71.83,11.76,1,1.36,0,0
2.34,1.67,17.62,74.4,14.81,2,1.21,0,0
2.58,1.22,16.33,71.98,15.26,3,1.16,0,0
7.44,0.89,16.77,76.39,14.11,4,0.98,0,0
11.99,0.34,15.32,82.57,14.52,5,0.97,0,0
8.27,0.23,15.89,81.56,12.36,6,1.13,0,0
4.15,0.09,17.08,80.19,11.93,7,1.5,0,0
1.92,-0.07,18.0,75.88,11.05,8,1.47,0,0
2.87,-0.22,17.85,73.35,11.8,9,1.44,0,0
5.74,-0.22,18.86,77.96,12.45,10,1.14,0,0
6.53,-0.19,15.36,84.71,12.36,11,0.98,0,0
5.08,-0.49,15.82,82.06,14.1,12,0.91,0,0
2.45,-0.56,18.02,76.97,10.65,1,1.18,1,0
4.08,-0.28,14.51,81.56,14.32,2,0.87,1,1
8.05,0.11,15.04,83.58,13.88,3,0.91,1,1
15.86,-0.02,16.22,83.16,13.58,4,0.95,1,1
8.53,-0.02,15.37,84.0,13.04,5,1.2,1,1
8.51,-0.01,15.89,81.59,11.83,6,1.36,1,1
2.78,-0.1,16.71,79.91,11.23,7,1.52,1,1
4.62,-0.32,17.23,78.21,12.75,8,1.4,1,1
3.71,-0.43,17.2,78.12,12.7,9,1.35,1,1
4.81,-0.45,16.36,82.18,12.74,10,0.9,1,1
3.18,-0.64,15.46,82.24,13.61,11,0.87,1,1
1.39,-0.57,17.32,83.27,11.82,12,1.08,1,1
3.31,0.68,16.43,87.21,7.24,1,1.61,0,0
1.42,0.57,16.21,85.97,11.05,2,1.33,0,0
5.8,0.57,14.7,85.05,12.0,3,1.35,0,0
9.02,0.82,13.56,90.07,11.21,4,1.46,0,0
6.19,1.03,14.6,89.68,10.15,5,1.4,0,0
9.17,1.23,13.14,90.86,9.38,6,1.84,0,0
8.52,1.5,14.84,88.75,8.7,7,1.66,0,0
4.98,1.97,13.9,88.65,10.43,8,1.66,0,0
4.15,2.24,17.64,85.26,8.64,9,1.51,0,0
6.08,2.41,16.81,85.9,10.58,10,1.25,0,0
9.05,2.77,15.38,90.03,10.68,11,1.05,0,0
2.19,2.76,15.69,87.9,9.28,12,1.68,0,0
0.2,2.73,19.93,81.45,10.35,1,1.0,0,0
1.54,2.39,15.16,81.21,10.49,2,1.5,0,0
5.24,1.71,15.19,83.68,11.56,3,1.28,0,0
13.68,1.02,13.75,89.15,12.22,4,0.94,0,0
9.73,0.41,14.47,90.24,11.25,5,1.28,0,0
6.56,0.03,14.46,89.16,10.12,6,1.47,0,0
6.81,-0.43,13.44,89.11,9.85,7,1.54,0,0
11.09,-0.53,15.81,87.78,9.23,8,1.55,0,0
7.86,-0.53,16.99,87.19,9.45,9,1.27,0,0
8.22,-0.69,16.8,88.42,10.36,10,0.92,0,0
11.46,-0.7,15.21,89.9,10.48,11,0.76,0,0
5.98,-0.4,16.53,89.99,10.23,12,1.02,0,0
1.35,-0.26,14.9,88.32,9.06,1,1.01,0,0
1.95,0.07,17.82,83.68,10.86,2,1.05,0,0
9.6,0.13,14.23,88.65,10.81,3,1.05,0,0
6.43,0.33,16.12,88.57,11.03,4,1.21,0,0
15.29,0.47,16.2,89.49,10.49,5,1.12,0,0
11.09,0.39,14.87,90.17,9.67,6,1.21,0,0
6.29,0.29,12.58,89.77,10.12,7,1.49,0,0
7.82,-0.11,16.51,87.89,10.13,8,1.24,0,0
5.89,-0.39,17.25,86.76,9.47,9,1.17,0,0
11.0,-0.51,15.88,87.96,10.15,10,1.05,0,0
11.36,-0.9,17.21,90.28,11.26,11,0.76,0,0
1.97,-0.88,16.55,88.06,8.37,12,0.97,0,0
2.34,-0.81,15.83,87.94,10.23,1,1.21,0,0
0.81,-0.63,15.43,82.16,10.47,2,1.03,0,0
3.75,-0.7,14.99,84.16,10.32,3,1.4,0,0
11.82,-0.39,11.97,90.65,11.44,4,1.05,0,0
12.92,-0.09,14.08,90.87,10.47,5,1.2,0,0
11.2,0.1,13.18,91.05,9.79,6,1.49,0,0
10.16,0.17,13.4,90.58,9.98,7,1.52,0,0
9.53,0.14,15.3,87.67,7.94,8,1.63,0,0
5.9,0.51,16.39,86.43,9.22,9,1.24,0,0
9.07,0.95,16.69,87.91,10.33,10,0.81,0,0
6.37,0.96,15.66,90.19,10.64,11,0.87,0,0
1.2,0.99,17.89,87.47,9.06,12,1.35,0,0
0.91,0.82,14.63,84.45,9.66,1,1.47,0,0
1.49,0.86,17.84,81.25,11.4,2,1.38,0,0
7.74,0.91,12.07,86.77,11.96,3,1.14,0,0
10.3,0.74,13.58,89.56,11.5,4,1.01,0,0
14.59,0.66,14.43,90.1,10.94,5,1.19,0,0
10.12,0.51,13.38,91.18,9.45,6,1.54,0,0
9.78,0.4,14.64,89.98,9.64,7,1.56,0,0
7.56,0.09,13.68,88.59,9.43,8,1.59,0,0
7.37,0.07,16.75,85.81,9.12,9,1.24,0,0
9.67,0.53,15.8,87.51,10.42,10,1.13,0,0
10.15,0.58,15.48,91.69,11.69,11,0.91,0,0
2.72,0.63,15.68,90.52,11.97,12,1.18,0,0
0.77,0.78,17.17,85.49,8.87,1,1.35,0,0
3.26,0.52,18.27,81.7,8.77,2,1.44,0,0
4.32,0.58,16.1,83.03,9.4,3,1.15,0,0
7.89,0.48,14.09,87.97,11.42,4,1.21,0,0
9.03,-0.16,13.12,89.96,10.76,5,1.42,0,0
15.13,-0.28,15.52,90.02,9.48,6,1.48,0,0
11.14,-0.25,14.56,89.64,9.62,7,1.39,0,0
5.61,-0.54,14.21,88.33,9.41,8,1.27,0,0
6.8,-0.79,16.94,86.09,9.83,9,1.16,0,0
1.58,-1.2,16.57,83.27,9.49,10,1.09,0,0
1.65,-1.36,15.29,86.83,11.7,11,0.7,0,0
3.32,-1.05,17.02,84.4,10.28,12,1.04,0,0
3.31,-0.82,17.43,84.07,8.79,1,1.28,0,0
3.93,-0.85,15.07,84.82,11.26,2,1.09,0,0
4.25,-0.69,12.87,86.23,10.21,3,1.06,0,0
5.92,-0.6,16.29,88.44,10.91,4,1.36,0,0
0.47,-0.35,14.0,87.69,10.53,5,1.43,0,0
