Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Observacion
Precipitacion_mm,Numérica,0,0.0,Muy Baja,
Temp_Max_C,Numérica,1,0.167,Muy Baja,
Temp_Min_C,Numérica,0,0.0,Muy Baja,
Temp_Media_C,Numérica,1,0.167,Muy Baja,
Humedad_Relativa,Numérica,0,0.0,Muy Baja,
Velocidad_Viento,Numérica,0,0.0,Muy Baja,
Radiacion_Solar,Numérica,0,0.0,Muy Baja,
Anio,Numérica,0,0.0,Muy Baja,
Mes,Numérica,0,0.0,Muy Baja,
ONI,Numérica,0,0.0,Muy Baja,
VolumenUtilDiarioMasa,Numérica,1,0.167,Muy Baja,
irca,Numérica,1,0.167,Muy Baja,
POBLACION TOTAL,Numérica,0,0.0,Muy Baja,
DENSIDAD POBLACIONAL,Numérica,6,1.0,Muy Alta,
INDICE DE DESEMPENO INSTITUCIONAL,Numérica,5,0.833,Muy Alta,
ACCESO A AGUA POTABLE ADECUADO,Numérica,6,1.0,Muy Alta,
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,6,1.0,Muy Alta,
COBERTURA DE ACUEDUCTO URBANO,Numérica,6,1.0,Muy Alta,
COBERTURA DE ACUEDUCTO RURAL,Numérica,6,1.0,Muy Alta,
COBERTURA DE ALCANTARILLADO URBANO,Numérica,6,1.0,Muy Alta,
COBERTURA DE ALCANTARILLADO RURAL,Numérica,6,1.0,Muy Alta,
CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,
CALIDAD DEL AGUA,Numérica,2,0.333,Baja,
AGUAS RESIDUALES TRATADAS,Numérica,1,0.167,Muy Baja,
Nivel_Minimo,Numérica,0,0.0,Muy Baja,
CONDUCTIVIDAD ELECTRICA,Numérica,2,0.333,Baja,
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,2,0.333,Baja,
DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,
FOSFORO TOTAL,Numérica,1,0.167,Muy Baja,
NITROGENO TOTAL,Numérica,1,0.167,Muy Baja,
OXIGENO DISUELTO (OD),Numérica,1,0.167,Muy Baja,
SOLIDOS SUSPENDIDOS TOTALES,Numérica,1,0.167,Muy Baja,
TEMPERATURA,Numérica,1,0.167,Muy Baja,
TURBIDEZ,Numérica,1,0.167,Muy Baja,
pH,Numérica,0,0.0,Muy Baja,
